goodreads_book_id,tag_id,count
231,30574,5250
231,11743,536
231,8717,347
231,11557,130
231,22743,58
231,5207,54
231,8067,51
231,22034,49
231,8055,43
231,7668,39
231,7852,33
231,18367,32
231,4949,30
231,18326,28
231,2277,21
231,1416,21
231,22753,19
231,9221,18
231,21989,18
231,12948,17
231,33114,16
231,3392,16
231,18045,16
231,1659,16
231,5051,15
231,3371,14
231,615,14
231,2313,14
231,9477,14
231,7673,14
231,30937,14
231,31656,12
231,3389,11
231,20849,11
231,27535,11
231,18318,11
231,20288,11
231,941,11
231,9484,11
231,617,11
231,1642,10
231,30672,10
231,8346,10
231,9886,9
231,2335,9
231,12869,9
231,25438,8
231,10644,7
231,5090,7
231,30521,7
231,1510,7
231,26636,7
231,24960,6
231,15169,6
231,11505,6
231,22689,6
231,3358,6
231,26735,6
231,3377,6
231,11978,6
231,32686,6
231,4514,6
231,23993,6
231,32989,5
231,20774,5
231,17213,5
231,5444,5
231,2271,5
231,32586,5
231,31505,5
231,4985,5
231,9638,5
231,25630,5
231,22816,5
231,15392,5
231,30768,5
231,28204,5
231,11798,5
231,27368,5
231,8069,5
231,26138,4
231,2294,4
231,2312,4
231,18990,4
231,3379,4
231,25148,4
231,25506,4
231,25822,4
231,25106,4
231,23040,4
231,31557,4
231,30766,4
231,10304,4
231,21374,4
231,8344,4
231,11776,4
231,31535,4
231,28014,4
231,20302,4
231,2162,4
264,7457,2632
264,11743,1053
264,11557,420
264,7404,391
264,22743,256
264,5207,243
264,18367,226
264,509,175
264,240,137
264,2277,132
264,22034,131
264,2313,118
264,14487,116
264,7423,98
264,236,97
264,26138,93
264,7478,88
264,9221,83
264,2312,82
264,22753,80
264,17213,69
264,30521,66
264,21989,59
264,4949,59
264,7417,59
264,14266,59
264,31859,58
264,30635,57
264,251,55
264,18045,51
264,18326,50
264,10644,45
264,30574,44
264,14467,44
264,20849,43
264,3392,39
264,1416,39
264,10210,38
264,5751,37
264,10197,37
264,11590,35
264,32586,34
264,20811,34
264,1659,33
264,20774,31
264,10641,31
264,7422,31
264,22689,29
264,248,28
264,1642,27
264,10658,27
264,371,27
264,21815,26
264,3371,25
264,14764,25
264,31656,25
264,261,25
264,31505,25
264,3389,24
264,30672,24
264,254,24
264,15924,24
264,26735,22
264,18292,22
264,9484,22
264,5776,22
264,7668,21
264,2287,21
264,15169,20
264,18318,20
264,10093,20
264,9477,20
264,22733,20
264,23229,20
264,2271,19
264,272,19
264,30768,19
264,10932,18
264,22816,18
264,29716,18
264,2104,17
264,14064,17
264,12948,17
264,31557,17
264,16056,17
264,25433,17
264,23233,17
264,20731,16
264,522,16
264,7427,16
264,29325,16
264,30573,15
264,5444,15
264,30766,15
264,7451,15
264,32315,15
264,21597,15
264,22352,14
264,518,14
264,521,13
275,30574,17593
275,11743,656
275,8717,503
275,11557,383
275,12553,330
275,7457,262
275,26138,155
275,240,150
275,12452,130
275,12568,120
275,22743,107
275,18367,98
275,236,88
275,14487,81
275,22034,80
275,5207,69
275,10825,68
275,21989,65
275,12567,64
275,923,50
275,251,46
275,7404,45
275,31883,43
275,3216,42
275,19733,40
275,18326,38
275,31133,38
275,30521,37
275,22753,36
275,11590,34
275,32686,33
275,12503,32
275,22027,31
275,9221,29
275,18045,28
275,32586,27
275,248,27
275,31140,27
275,12451,27
275,14467,26
275,11644,26
275,32724,26
275,18640,25
275,26735,25
275,4949,25
275,473,25
275,261,24
275,27666,24
275,22025,23
275,25151,22
275,8055,22
275,21689,22
275,19233,22
275,7852,21
275,15424,21
275,1642,20
275,4605,20
275,25169,20
275,11643,19
275,1659,19
275,254,19
275,19742,19
275,26126,18
275,272,18
275,10197,17
275,20282,17
275,27387,16
275,20849,15
275,17213,15
275,25114,15
275,10939,15
275,17960,15
275,12463,15
275,18428,15
275,11497,14
275,18292,14
275,27656,14
275,4461,14
275,7668,14
275,12556,14
275,25150,13
275,30573,13
275,9886,13
275,30672,13
275,10932,13
275,31141,13
275,24368,13
275,20774,12
275,11505,12
275,8067,12
275,10210,12
275,25149,12
275,10934,12
275,12555,12
275,247,12
275,15366,12
275,28203,12
275,21982,12
275,7481,11
275,7693,11
386,30574,565
386,19733,280
386,21689,182
386,21773,99
386,19742,78
386,11557,61
386,11743,56
386,4605,31
386,4949,28
386,5500,23
386,4615,22
386,5413,21
386,23831,18
386,5207,17
386,18045,16
386,1195,16
386,32586,14
386,22743,13
386,14774,11
386,19788,11
386,1416,10
386,4594,10
386,919,10
386,3611,9
386,17213,8
386,11221,8
386,19738,8
386,1599,8
386,1194,8
386,8717,7
386,30521,7
386,18367,7
386,30756,7
386,4568,7
386,25146,7
386,1196,7
386,22034,6
386,8055,6
386,8346,6
386,9221,5
386,27556,5
386,1642,5
386,26735,5
386,19737,5
386,9477,5
386,5051,5
386,19786,5
386,25144,5
386,8483,5
386,11455,5
386,5412,5
386,5410,5
386,30707,5
386,5090,4
386,31656,4
386,25147,4
386,611,4
386,19524,4
386,15048,4
386,30755,4
386,30551,4
386,11978,4
386,4561,4
386,4600,4
386,4985,4
386,11834,4
386,7668,4
386,21685,4
386,4607,4
386,19749,4
386,19744,4
386,19755,4
386,25202,4
386,6030,4
386,21285,4
386,22753,3
386,11505,3
386,20849,3
386,14764,3
386,3616,3
386,4596,3
386,4611,3
386,19735,3
386,32099,3
386,7725,3
386,24716,3
386,5393,3
386,22816,3
386,12663,3
386,21406,3
386,9959,3
386,19734,3
386,25110,3
386,1960,3
386,5153,3
386,32863,3
386,5414,3
386,1193,3
386,1192,3
386,7573,3
424,30574,4161
424,8717,1404
424,21773,482
424,21689,246
424,10891,188
424,11557,134
424,19733,125
424,14552,105
424,27669,101
424,7457,96
424,11743,73
424,16651,69
424,6131,68
424,5207,65
424,10886,56
424,2277,52
424,450,47
424,4949,43
424,22743,42
424,30521,42
424,23931,38
424,19742,38
424,18045,36
424,923,31
424,32686,29
424,4605,28
424,30755,27
424,11590,25
424,8483,25
424,2313,24
424,11644,24
424,22753,23
424,5413,23
424,32865,23
424,2271,21
424,8683,21
424,32724,20
424,25152,19
424,2335,19
424,7404,19
424,30756,19
424,21685,19
424,25151,18
424,32586,18
424,25149,18
424,4615,18
424,1195,18
424,3389,17
424,31656,17
424,26735,17
424,10888,17
424,31505,16
424,27678,16
424,16436,16
424,3392,15
424,25150,15
424,3371,14
424,32688,14
424,21413,14
424,1416,13
424,28052,13
424,18589,13
424,2312,12
424,11643,12
424,21739,12
424,3611,12
424,7658,12
424,17213,11
424,10197,11
424,8055,11
424,31155,11
424,25506,11
424,28964,11
424,11662,11
424,1014,11
424,8482,11
424,9221,10
424,11505,10
424,1642,10
424,3358,10
424,23471,10
424,11665,10
424,21374,10
424,919,10
424,18329,10
424,24960,9
424,18318,9
424,19738,9
424,6022,9
424,7668,9
424,21803,9
424,8491,9
424,8680,9
424,8364,9
424,31595,9
424,9483,9
424,21437,8
424,25148,8
424,21487,8
424,25239,8
428,30574,445
428,7457,123
428,22034,71
428,240,57
428,30521,56
428,18367,52
428,8055,50
428,30445,50
428,22743,44
428,5207,43
428,18326,41
428,6131,37
428,11665,36
428,1659,35
428,236,33
428,923,30
428,18589,28
428,18045,27
428,30672,27
428,32586,26
428,2312,25
428,32686,25
428,31656,24
428,261,24
428,21989,23
428,2313,23
428,14719,23
428,251,21
428,8067,20
428,461,19
428,22753,18
428,1642,18
428,30463,18
428,2098,17
428,11743,16
428,11643,16
428,248,16
428,272,16
428,450,16
428,17213,15
428,11644,15
428,16436,15
428,7404,14
428,32688,14
428,210,14
428,1029,14
428,5390,14
428,2335,13
428,25506,13
428,11590,12
428,14487,12
428,11834,12
428,25152,11
428,10197,11
428,12948,11
428,1416,11
428,5051,11
428,32724,11
428,18139,11
428,25150,10
428,18318,10
428,25149,10
428,254,10
428,32099,10
428,30471,10
428,10644,9
428,19524,9
428,24338,9
428,30444,9
428,2294,8
428,26735,8
428,783,8
428,18292,8
428,21689,8
428,30551,8
428,5481,8
428,32080,8
428,9297,8
428,17528,8
428,18138,8
428,7478,7
428,24997,7
428,19733,7
428,21274,7
428,11673,7
428,10891,7
428,7668,7
428,31528,7
428,13759,7
428,9483,7
428,11557,6
428,24960,6
428,25153,6
428,20288,6
428,10093,6
428,25000,6
428,25148,6
428,21265,6
428,11662,6
428,1028,6
432,30574,5159
432,11743,261
432,8717,156
432,20939,126
432,11557,78
432,18367,40
432,2277,37
432,8055,32
432,22034,28
432,22743,27
432,8517,27
432,2313,26
432,18326,25
432,923,25
432,7457,22
432,23131,22
432,21437,22
432,21989,21
432,5207,20
432,24080,18
432,8921,18
432,8067,17
432,26735,17
432,31656,15
432,27199,14
432,31535,14
432,11590,13
432,473,13
432,9221,12
432,10644,11
432,236,11
432,1642,10
432,9336,10
432,240,10
432,22753,9
432,2312,9
432,24060,9
