book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
34,10818853,10818853,15732562,169,1612130291,9781612130290.0,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,0
71,18490,18490,4836639,2618,141439475,9780141439470.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,883563,19993,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,0
79,1381,1381,3356006,1703,143039954,9780143039950.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng,3.73,670326,710757,8101,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,0
121,7604,7604,1268631,370,,,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,Lolita,eng,3.88,469836,517990,18107,21091,37205,108664,165477,185553,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg,0
125,1420,1420,1885548,1929,521618746,9780521618750.0,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,515820,576894,8889,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg,0
138,12296,12296,4925227,1579,142437263,9780142437260.0,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,eng,3.37,509883,559246,11428,34813,80444,182701,165079,96209,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg,0
154,8852,8852,1896522,1732,743477103,9780743477110.0,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,eng,3.88,496018,524826,7609,10551,35408,127354,183871,167642,https://images.gr-assets.com/books/1459795224m/8852.jpg,https://images.gr-assets.com/books/1459795224s/8852.jpg,0
178,6514,6514,1385044,246,61148512,9780061148510.0,Sylvia Plath,1963.0,The Bell Jar,The Bell Jar,en-US,3.98,401605,442157,15963,8266,23983,92408,162216,155284,https://images.gr-assets.com/books/1473890514m/6514.jpg,https://images.gr-assets.com/books/1473890514s/6514.jpg,0
194,153747,153747,2409320,1823,142437247,9780142437250.0,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",eng,3.46,358050,397963,11223,35983,52601,103625,102432,103322,https://images.gr-assets.com/books/1327940656m/153747.jpg,https://images.gr-assets.com/books/1327940656s/153747.jpg,0
203,11505797,11505797,16441531,85,,,Jamie McGuire,2011.0,Beautiful Disaster,"Beautiful Disaster (Beautiful, #1)",eng,4.15,418309,442696,25298,17185,23298,61993,115123,225097,https://images.gr-assets.com/books/1358259032m/11505797.jpg,https://images.gr-assets.com/books/1358259032s/11505797.jpg,0
213,485894,485894,2373750,1316,553213695,9780553213690.0,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,The Metamorphosis,eng,3.78,364933,414533,10252,15430,33226,98774,146297,120806,https://images.gr-assets.com/books/1359061917m/485894.jpg,https://images.gr-assets.com/books/1359061917s/485894.jpg,0
248,1622,1622,894834,1379,743477545,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241,361510,5724,5598,20498,84388,130051,120975,https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg,0
264,3876,3876,589497,343,743297334,9780743297330.0,Ernest Hemingway,1926.0,The Sun Also Rises,The Sun Also Rises,en-US,3.83,284988,303117,9826,9602,23682,70004,105785,94044,https://images.gr-assets.com/books/1331828228m/3876.jpg,https://images.gr-assets.com/books/1331828228s/3876.jpg,0
301,4900,4900,2877220,1369,1892295490,9781892295490.0,Joseph Conrad,1899.0,Heart of Darkness,Heart of Darkness,eng,3.42,255576,308391,9791,25591,42946,84433,88608,66813,https://images.gr-assets.com/books/1392799983m/4900.jpg,https://images.gr-assets.com/books/1392799983s/4900.jpg,0
324,16068905,16068905,21861351,80,,,Rainbow Rowell,2013.0,,Fangirl,eng,4.12,340379,371730,39353,8626,16973,60097,121431,164603,https://images.gr-assets.com/books/1499565420m/16068905.jpg,https://images.gr-assets.com/books/1499565420s/16068905.jpg,0
329,2318271,2318271,3364076,111,1401323251,9781401323260.0,"Randy Pausch, Jeffrey Zaslow",2008.0,The Last Lecture,The Last Lecture,eng,4.25,241869,248143,14988,3004,8851,35547,76621,124120,https://images.gr-assets.com/books/1388075896m/2318271.jpg,https://images.gr-assets.com/books/1388075896s/2318271.jpg,0
