user_id,book_id
15,398
34,483
94,1167
29,2304
29,662
94,5704
29,709
167,462
167,736
112,5120
194,7231
194,301
179,2298
116,6173
116,4684
116,3404
245,1167
162,1186
364,398
128,6600
206,3349
399,4139
399,3425
418,483
439,121
322,9759
453,8611
475,2846
490,121
506,5540
506,1186
506,456
506,4244
506,839
506,3364
506,138
516,3321
416,494
506,1124
497,7579
543,1214
543,341
574,736
124,662
580,427
580,4972
513,2098
513,1255
513,354
585,6704
529,1186
585,6600
610,4096
653,1025
513,1411
488,8633
698,1570
564,6648
643,121
718,3598
741,264
697,9632
759,709
756,1878
564,5327
841,9178
871,4071
840,8047
412,508
900,2298
900,1679
900,819
900,7231
900,2732
871,1584
506,951
816,213
816,736
657,9632
1024,2380
1038,1928
585,178
585,4055
957,1214
991,984
991,7970
1007,646
1047,121
585,1888
1007,1025
1111,493
899,1672
1135,1312
1150,8025
1046,6600
1046,887
1162,984
1178,3321
1254,178
1302,9632
1102,3613
533,9754
1346,1005
257,1214
765,523
1291,736
603,2304
1254,483
1444,597
1459,410
1434,1106
1403,1797
253,7155
636,4942
1083,5978
1403,1083
1504,1622
1476,1928
1551,121
1560,398
1526,5327
1584,1005
1509,121
1608,410
1537,1364
1537,301
1537,959
1537,2297
1526,855
1704,490
146,3024
1761,736
765,4972
1763,6274
448,4081
920,5420
1774,71
1649,5978
1189,3472
1740,2578
1508,1783
1508,398
1508,138
1835,718
1705,479
1847,71
1872,8707
1889,4081
1514,121
1434,121
1897,7309
1654,4391
1117,2698
706,1005
1702,341
1549,4081
1965,1928
1926,401
1926,736
1926,4592
1107,7974
1926,597
1890,3613
1890,7974
718,1312
718,3388
718,6173
718,3703
718,354
718,2508
1145,718
1549,410
2061,7429
1236,354
2123,341
2125,493
1860,9759
1283,1083
412,597
2156,508
1977,1570
2224,3638
2080,264
2080,178
2080,576
750,357
1172,121
2254,7309
2254,1280
2080,5330
2080,5700
2080,9754
2270,1584
2130,2698
2130,8692
2130,763
2130,4972
2130,4939
2291,718
1927,478
2080,1314
320,9624
1942,494
2338,357
2338,709
1537,977
2220,736
2374,1570
2374,1411
2182,3256
1237,2298
2389,3911
2370,1797
2397,4996
1942,4096
755,1084
1951,1312
1474,1106
2438,121
1261,1156
1060,2809
1060,887
919,718
1060,4942
1847,468
2502,597
2502,1214
2491,2578
2178,597
2577,2342
2589,3598
2407,5101
1068,1797
1069,1642
2569,1299
2565,2578
448,1672
2598,646
1939,1888
1979,410
2337,410
2662,1106
2662,493
2661,5128
2667,1186
2667,121
2662,508
1876,5101
2687,1380
2713,1005
2713,121
2397,3425
2748,398
1903,178
1046,1509
2748,1432
1940,508
2796,121
2748,4090
116,4332
2825,3472
1823,1642
2800,2846
706,1156
2713,662
898,71
2260,959
1826,9624
2747,2304
2747,138
2737,1928
2859,1329
2859,1928
2709,1156
1095,6998
2611,6980
2295,1156
2888,2314
2888,483
2816,178
1727,4081
2438,828
2624,4487
1270,9632
2709,1679
2709,5853
2709,984
2709,1167
2437,1701
2922,8084
2438,2098
919,2314
2951,529
2953,5294
2939,264
2928,3024
2181,1156
1270,1797
70,560
3047,398
2652,1084
2652,121
2437,3505
2162,3808
2162,398
759,646
759,718
1411,8867
2928,121
2928,1214
1609,1928
1937,178
1968,718
3079,4081
3106,6481
26,2257
3076,3613
3117,4016
3107,121
3049,213
3049,718
3115,2098
2962,483
2070,1214
3141,9178
3061,1584
3115,718
2859,5120
2955,2698
2478,736
3079,121
3079,1005
1917,3388
2955,3907
1444,646
3029,6535
2985,5330
3,1146
2756,3388
2748,154
1681,493
3265,1156
3269,354
3269,1005
3076,1672
2585,828
175,7716
3272,959
3272,1783
3272,887
3272,1454
3272,6481
3105,9632
1159,5210
1159,1214
3293,5358
3293,828
3293,887
3293,718
3277,1574
3265,887
3327,121
2597,3349
295,959
3164,1949
3164,1785
3164,782
3345,248
3345,483
3164,353
3269,5315
3301,121
3164,8440
3296,8389
3293,977
3301,1124
3115,3808
3318,5120
3354,1156
3363,523
3363,138
3023,819
837,1477
837,2952
3055,468
3055,121
907,7952
2371,121
3055,3321
3384,1005
1135,6980
3430,1521
3126,1672
636,6704
295,6600
703,2314
3115,4939
3270,6648
2122,1146
3490,2366
1043,398
3492,1329
3492,8492
3492,828
3176,354
3176,523
3458,4391
2699,398
3519,1083
2437,410
338,1928
1465,662
1465,410
1607,353
1607,646
109,1797
109,984
109,2314
109,483
3422,341
3422,1299
3126,819
3126,1928
3582,934
3176,410
3176,5210
3582,1364
703,4103
3619,483
3524,1186
1514,597
2995,828
3631,6274
3631,5101
1767,5128
648,427
3636,7392
3636,1364
3636,138
1025,1329
3661,560
3661,959
3668,1156
3693,1156
1053,410
3639,4139
3270,6104
3672,887
1649,8389
2407,9714
3351,483
2162,4487
3717,493
2985,353
952,1314
552,2698
2699,508
2339,1156
3594,5210
3717,1025
2284,2698
3126,1888
3805,2508
3713,71
3713,4592
3713,1878
3665,828
3826,736
3826,8692
1508,3703
1519,887
3619,9563
3306,4942
3888,1664
3915,1083
3916,1156
3536,410
3713,3642
3845,523
3845,138
3944,4487
3771,8707
3951,770
3959,770
1722,1518
3966,3388
3713,1928
3713,357
1600,1570
774,483
774,709
1508,3642
3628,1877
4008,1664
4008,701
3738,468
3212,468
4013,1364
3635,4139
1070,5019
3077,1156
1070,560
3272,1570
1070,597
1070,468
1070,1928
3381,5315
4008,5210
3458,1696
3964,1156
295,1214
295,560
295,5327
3711,1411
3381,4301
3381,1642
4059,478
1145,5327
3123,213
4057,2298
4057,977
36,718
3953,772
3953,7668
3953,3907
3953,3321
3953,984
3953,2342
4076,3613
4029,2286
295,1664
1555,4504
2070,772
3286,1570
3458,3176
3458,2662
3626,1642
3626,5101
8,3930
8,9304
3711,410
2728,1949
4183,3237
1512,1509
676,121
457,357
1537,819
1537,2366
1537,1280
4238,178
4228,1005
4228,154
4222,3237
2070,529
1287,178
1287,5101
4221,1025
1800,1214
1800,3808
1800,1783
1800,1167
3340,248
4277,819
4277,1679
4277,5057
634,646
634,6242
634,782
634,248
634,125
4246,3703
3635,523
1712,2197
4324,646
4307,1084
4190,1888
4190,736
4384,5024
3953,121
4382,1083
4384,1570
4115,4939
248,782
4072,529
1846,493
4466,530
2563,5845
2070,718
4326,3613
4480,1214
3239,8084
3928,4139
4486,154
589,4942
928,718
4500,5629
2611,5386
4545,650
1609,7262
928,121
928,2314
928,456
4528,560
4528,1477
4567,483
4567,2197
4567,887
4567,121
4528,125
4528,736
1579,1574
3788,662
4379,1255
4373,1265
3928,9759
4314,701
4604,3703
4622,1156
1257,483
1257,121
3575,597
3575,772
4294,1477
4294,494
4294,1214
2672,736
4653,736
4653,855
4379,6600
4379,1878
4379,398
4379,1664
4379,508
4379,3472
4379,248
4687,1255
4687,8025
2258,494
4567,9714
4379,479
4581,264
4528,7172
4693,493
4693,1106
151,1370
4727,5101
4718,3911
2260,5315
2260,5146
4765,401
709,763
4639,468
4567,2366
1650,736
1315,4487
4830,8471
2642,1370
4567,828
639,828
4617,1083
4653,523
4861,1156
4921,213
2361,4096
4621,121
2858,1135
2858,1214
4586,1888
4937,9624
3443,125
3898,5863
4604,5358
839,2240
1075,5019
4505,178
2569,7416
1258,1167
2294,763
4419,765
2854,6600
4823,736
839,6998
839,5327
4913,121
5023,951
4876,121
5029,1106
3079,1135
3713,1518
3620,1783
2000,468
2294,1877
594,2257
3966,1364
5095,9714
4803,410
4984,529
29,6104
29,178
29,934
29,1642
29,121
29,1364
4606,508
895,1314
82,6530
1969,6530
4474,483
5123,479
5134,1106
5134,709
5134,483
5134,959
5134,597
5134,71
5134,1364
5134,977
5134,718
5134,4090
3443,646
5020,8516
3098,1570
5120,341
2361,1135
3634,560
1650,71
783,2671
5246,8633
5251,7647
1553,984
3272,2698
9,736
9,701
4984,3720
1714,4096
5211,1124
5291,9754
5098,1314
5098,7086
484,1928
511,597
5297,9973
5314,2286
3099,4096
695,2869
977,4096
5336,1135
4545,138
3412,5128
5156,121
838,984
3176,5101
709,718
260,1005
1829,1156
695,8867
5339,1156
4528,213
839,5210
3243,398
594,8625
594,3638
594,1312
594,5346
594,523
594,4055
5336,1570
2267,1255
2267,662
918,2698
194,1664
26,2314
1722,401
260,3872
2168,1083
5354,2342
768,828
4542,934
4542,2698
5120,2197
5426,819
5462,529
5462,7309
3532,121
3307,1888
3284,1005
2662,1783
5498,508
5522,1570
5522,765
5522,9743
5522,4016
5522,4330
5522,6896
5522,178
903,5120
4371,3676
4371,3613
5479,8692
4054,3425
2284,6438
378,6820
4074,1888
4975,1099
954,3321
954,121
5303,71
5578,3388
1591,8396
1591,2298
5544,3613
59,6326
3506,3911
954,6788
3676,1084
5622,718
5628,1411
2990,493
194,483
5663,662
484,2732
3561,138
2038,1005
491,4103
5539,6998
3293,765
5684,736
5684,662
5688,1135
5688,959
2846,2339
2467,828
1847,1672
3329,121
1036,121
3250,1156
4224,5024
5712,121
1650,4090
5699,427
2991,4016
5719,9632
2373,4016
1318,398
4710,662
4710,493
5699,4055
5674,7169
5674,7668
663,121
4542,7155
4542,1380
2274,2298
2478,3505
5440,1083
3444,984
7,3552
7,3720
4371,1518
4371,401
1514,4584
1514,4485
1591,6274
3183,121
5757,1477
614,1005
718,9563
1845,213
2045,1509
5228,4487
5228,3024
3306,5210
5786,121
5786,71
5402,7055
322,1156
2850,1083
403,121
4059,5845
4083,329
5372,530
5251,410
4063,4435
4063,597
3035,178
5809,154
4984,1785
5794,264
575,1135
5090,3613
3393,3642
575,6272
5831,121
5831,1521
5831,2380
5831,1570
5831,2098
4307,1380
1721,5120
552,2314
5706,3364
1253,3505
5706,1135
5706,1214
5438,3024
3233,3638
5859,121
5860,3934
4890,479
5831,357
2432,398
2432,1214
4643,1214
952,951
5380,1312
3679,1005
4486,1432
5737,5101
3857,1509
2257,662
4815,508
1553,701
5859,178
3702,1672
3565,984
2960,5358
2960,9178
394,1005
394,1928
5928,5785
5945,2809
5928,718
5928,709
5928,2339
5928,3388
5928,3364
2960,483
3854,2732
3854,4684
3854,6173
1087,523
5973,264
3207,329
3999,8390
3832,1679
5314,855
5314,401
4637,3126
3832,650
3832,819
3200,410
1135,329
3366,1928
3223,4972
4367,597
5737,9078
3802,8929
895,1299
1708,121
1708,1005
1708,782
1708,959
1708,531
1708,456
1708,5863
989,9624
5946,1156
423,959
423,1928
5791,5101
5791,1099
4238,354
4465,3425
2257,329
2427,329
2424,8929
4980,6768
3802,1570
5281,354
3254,5057
3254,951
6046,508
6046,483
6046,301
5737,264
6046,1124
4591,329
159,248
159,353
159,530
159,5540
